"sim_id" "eir" "access" "season" "seed" "model" "age" "nTreatments1" "nHost" "nPatent" "nUncomp" "nSevere" "expectedDirectDeaths" "expectedSevere" "expectedIndirectDeaths" "age_prev" "prevalence_2to10"
"e01a44z1s01m0000GA" 0.25 0.44 1 1 "0000GA" 0.25 14 1347.08333333333 88 54 2 0.25499 1.8822825 0.3742953 0.00544386019177235 0.00892969107193608
"e01a44z1s01m0000GA" 0.25 0.44 1 1 "0000GA" 0.75 25 766.916666666667 65 53 4 0.446824 2.056993 0.3502023 0.00706291426708682 0.00892969107193608
"e01a44z1s01m0000GA" 0.25 0.44 1 1 "0000GA" 1.5 54 1391.41666666667 103 108 6 0.5985841 3.960364 0.4352937 0.00616877283344313 0.00892969107193608
"e01a44z1s01m0000GA" 0.25 0.44 1 1 "0000GA" 3.5 258 4016.91666666667 351 445 15 1.0055529 11.944157 0.7699163 0.00728170445822874 0.00892969107193608
"e01a44z1s01m0000GA" 0.25 0.44 1 1 "0000GA" 7.5 556 6257.25 796 947 22 2.2789799 21.07589 0.7831913 0.0106010361314209 0.00892969107193608
"e01a44z1s01m0000GA" 0.25 0.44 1 1 "0000GA" 12.5 687 5692.91666666667 1187 1239 17 2.735631 20.18229 0.5933126 0.0173753933982288 0.00892969107193608
"e01a44z1s01m0000GA" 0.25 0.44 1 1 "0000GA" 17.5 660 5135.08333333333 1462 1300 22 3.601767 17.00912 0.4279231 0.0237256779344704 0.00892969107193608
"e01a44z1s01m0000GA" 0.25 0.44 1 1 "0000GA" 60 3526 24910.75 10171 7332 57 11.105248 52.5545 1.1649086 0.0340248018760308 0.00892969107193608
"e01a44z1s01m0000GP" 0.25 0.44 1 1 "0000GP" 0.25 11 1347.08333333333 26 33 4 0.396513 1.3337341 0.33208638 0.00160841323847819 0.00423909555428542
"e01a44z1s01m0000GP" 0.25 0.44 1 1 "0000GP" 0.75 28 767.25 21 44 1 0.0848474 1.3422229 0.28660926 0.00228087324861518 0.00423909555428542
"e01a44z1s01m0000GP" 0.25 0.44 1 1 "0000GP" 1.5 44 1391.83333333333 40 74 4 0.3958766 1.993455 0.3283164 0.00239492276374087 0.00423909555428542
"e01a44z1s01m0000GP" 0.25 0.44 1 1 "0000GP" 3.5 221 4020 185 341 15 0.9155401 15.175085 0.7914078 0.00383499170812604 0.00423909555428542
"e01a44z1s01m0000GP" 0.25 0.44 1 1 "0000GP" 7.5 453 6265.66666666667 369 711 21 1.5627146 24.356713 0.7596713 0.00490769803692079 0.00423909555428542
"e01a44z1s01m0000GP" 0.25 0.44 1 1 "0000GP" 12.5 545 5703.83333333333 495 953 19 2.650629 31.28792 0.5855748 0.00723197849399527 0.00423909555428542
"e01a44z1s01m0000GP" 0.25 0.44 1 1 "0000GP" 17.5 621 5139.58333333333 601 1039 22 3.244947 27.98778 0.4638324 0.00974462910417511 0.00423909555428542
"e01a44z1s01m0000GP" 0.25 0.44 1 1 "0000GP" 60 3396 24921.25 3865 5924 86 13.356981 87.45578 1.3174119 0.0129240440721606 0.00423909555428542
"e01a44z1s01m0000GPSG" 0.25 0.44 1 1 "0000GPSG" 0.25 21 1346.33333333333 50 54 5 0.4991731 2.1794809 0.5215741 0.00309482545184452 0.00752334184059638
"e01a44z1s01m0000GPSG" 0.25 0.44 1 1 "0000GPSG" 0.75 38 766.5 44 60 3 0.2609805 2.1066857 0.3922078 0.00478364861926506 0.00752334184059638
"e01a44z1s01m0000GPSG" 0.25 0.44 1 1 "0000GPSG" 1.5 89 1388.5 83 131 10 0.8496784 5.086868 0.4747478 0.00498139479054135 0.00752334184059638
"e01a44z1s01m0000GPSG" 0.25 0.44 1 1 "0000GPSG" 3.5 302 4012.08333333333 293 470 29 1.4898294 24.72096 0.8843538 0.00608578253193478 0.00752334184059638
"e01a44z1s01m0000GPSG" 0.25 0.44 1 1 "0000GPSG" 7.5 625 6252.16666666667 676 1019 29 2.0735653 39.78327 0.7972806 0.0090102097939381 0.00752334184059638
"e01a44z1s01m0000GPSG" 0.25 0.44 1 1 "0000GPSG" 12.5 796 5681.41666666667 906 1236 35 4.857086 42.33654 0.5851357 0.0132889390850287 0.00752334184059638
"e01a44z1s01m0000GPSG" 0.25 0.44 1 1 "0000GPSG" 17.5 815 5122.08333333333 1263 1468 49 7.041775 40.25409 0.4797653 0.0205482795086635 0.00752334184059638
"e01a44z1s01m0000GPSG" 0.25 0.44 1 1 "0000GPSG" 60 4329 24842.3333333333 8379 7789 94 14.327032 113.40598 1.2225558 0.0281072631395333 0.00752334184059638
"e01a44z1s02m0000GA" 0.25 0.44 1 2 "0000GA" 0.25 11 1347.16666666667 45 29 0 0 1.017495 0.20245114 0.00278361994309044 0.00541536559809513
"e01a44z1s02m0000GA" 0.25 0.44 1 2 "0000GA" 0.75 17 768.333333333333 39 39 0 0 1.2834515 0.22721149 0.00422993492407809 0.00541536559809513
"e01a44z1s02m0000GA" 0.25 0.44 1 2 "0000GA" 1.5 49 1391.75 36 67 3 0.3000028 2.5548607 0.26277204 0.00215555954733249 0.00541536559809513
"e01a44z1s02m0000GA" 0.25 0.44 1 2 "0000GA" 3.5 149 4026.08333333333 216 249 6 0.511193 6.794112 0.4129817 0.00447084635605324 0.00541536559809513
"e01a44z1s02m0000GA" 0.25 0.44 1 2 "0000GA" 7.5 341 6277.16666666667 508 616 8 0.813196 12.945392 0.5063539 0.00674401932931524 0.00541536559809513
"e01a44z1s02m0000GA" 0.25 0.44 1 2 "0000GA" 12.5 395 5715.08333333333 638 732 20 3.194575 12.964511 0.3483723 0.00930286814132194 0.00541536559809513
"e01a44z1s02m0000GA" 0.25 0.44 1 2 "0000GA" 17.5 445 5154.16666666667 845 783 9 1.802498 13.395893 0.2617743 0.0136620856911884 0.00541536559809513
"e01a44z1s02m0000GA" 0.25 0.44 1 2 "0000GA" 60 2304 25013.4166666667 5452 4627 36 6.974655 43.42393 0.7636589 0.0181635855424256 0.00541536559809513
"e01a44z1s02m0000GP" 0.25 0.44 1 2 "0000GP" 0.25 4 1347.66666666667 6 19 0 0 0.689541 0.16726913 0.000371011625030918 0.0024357103988344
"e01a44z1s02m0000GP" 0.25 0.44 1 2 "0000GP" 0.75 15 768.333333333333 18 35 1 0.0952221 1.0126883 0.22394689 0.00195227765726681 0.0024357103988344
"e01a44z1s02m0000GP" 0.25 0.44 1 2 "0000GP" 1.5 31 1393.66666666667 38 61 3 0.2358899 1.9535183 0.31289564 0.00227218368811289 0.0024357103988344
"e01a44z1s02m0000GP" 0.25 0.44 1 2 "0000GP" 3.5 133 4027.16666666667 96 184 9 0.6006731 8.658163 0.4453136 0.0019865082978107 0.0024357103988344
"e01a44z1s02m0000GP" 0.25 0.44 1 2 "0000GP" 7.5 285 6280.16666666667 208 444 12 0.9757969 16.101405 0.4731624 0.00276001167697248 0.0024357103988344
